LAT,LONG,ALT
33.62626,73.419002,748.117
33.628624,73.418685,786.064
33.632717,73.416913,733.9
33.63567,73.414326,833.628
33.63802,73.413299,900.811
33.643291,73.411573,956.416
33.64563,73.411102,957.645
33.648563,73.41,809.728
33.652088,73.408918,824.85
33.656777,73.408236,786.236
33.659697,73.4066,852.472
33.66203,73.405773,867.81
33.663801,73.403788,879.504
33.66675,73.402608,828.688
33.670885,73.399351,799.088
33.67383,73.397315,731.287
33.676188,73.395263,717.778
33.679727,73.392526,697.922
33.680885,73.392422,714.991
33.682017,73.38929,795.993
33.684888,73.385362,904.667
33.686644,73.382522,930.892
33.689641,73.378651,805.433
33.693249,73.375571,686.748
33.696217,73.371462,675.83
33.69907,73.366131,788.379
33.701889,73.362141,932.635
33.70478,73.356363,919.799
33.708463,73.352743,799.429
33.710875,73.350141,753.473
33.712055,73.349458,727.06
33.713211,73.3487,734.248
33.714979,73.346608,751.427
33.71742,73.344767,661.348
33.719708,73.342476,668.818
33.72382,73.339673,700
33.726177,73.338291,700.992
33.730153,73.335867,776.045
33.731257,73.334297,853.743
33.733515,73.332703,924.695
33.737785,73.329569,779.512
33.740745,73.327521,805.678
33.743701,73.324753,795.671
33.746096,73.323445,772.404
33.749122,73.319379,676.555
33.751525,73.315234,664.72
33.753856,73.313796,671.81
33.757349,73.311638,689.333
33.761476,73.308144,693.191
33.764992,73.303902,703.974
33.767324,73.301764,694.345
33.76907,73.301043,709.303
33.774664,73.294351,868.291
33.782272,73.287317,841.09
33.790131,73.277721,696.143
33.793015,73.274857,803.756
33.800163,73.267919,727.104
33.803659,73.262963,735.825
33.808023,73.258479,868.308
33.813481,73.250877,829.699
33.818917,73.238632,981.69
33.822399,73.230884,938.813
33.828151,73.217906,1132.588
33.830211,73.208683,1349.123
33.831112,73.205318,1246.642
33.831976,73.194205,1060.119
33.831982,73.183679,1045.338
33.831845,73.177327,1115.492
33.831848,73.168213,1156.835
33.831704,73.159775,1201.373
33.830417,73.151976,1399.194
33.827639,73.144308,1446.295
33.825085,73.135917,1463.88
33.822853,73.124048,1193.399
33.820162,73.112831,1201.45
33.816157,73.103712,1145.069
33.812874,73.095962,1080.831
33.809486,73.086813,1038.16
33.806243,73.079187,1166.067
33.804154,73.072097,1047.267
33.79979,73.061445,903.758
33.793897,73.048117,953.065
33.787971,73.03412,995.938
33.784965,73.026458,1046.397
33.782965,73.017532,1169.069
33.776291,73.008147,1007.993
33.766543,72.985475,970.974
33.763494,72.976492,957.207
33.762381,72.972204,962.234
33.761363,72.968485,857.422
33.760919,72.96477,777.717
33.759822,72.96255,718.059
33.758145,72.958198,714.275
33.755589,72.95429,809.151
33.75246,72.951096,984.577
33.752441,72.948312,985.601
33.750745,72.942589,925.143
33.74964,72.939661,887.691
33.747603,72.93629,744.3
33.745817,72.932808,762.6
33.745163,72.930112,806.136
33.7427,72.926825,768.151
33.740958,72.92186,720.828
33.738721,72.918809,684.326
33.738191,72.915859,675.014
33.73645,72.913697,700.847
33.733461,72.910299,786.559
33.731595,72.907036,852.206
33.729037,72.904774,986.523
33.727302,72.901206,971.649
33.725622,72.89889,917.129
33.724448,72.896083,863.676
33.723321,72.893134,832.499
33.722083,72.890514,854.046
33.722075,72.887009,886.165
33.72084,72.8851,962.086
33.720906,72.881363,886.704
33.720366,72.876983,891.442
33.720431,72.873233,811.278
33.719866,72.868917,782.605
33.718074,72.865501,860.269
33.716303,72.861308,814.697
33.714104,72.857222,671.038
33.712419,72.854085,652.692
33.710094,72.852565,649.417
33.707178,72.852473,566.911
33.705898,72.855065,705.446
33.703621,72.857593,616.587
33.702462,72.861076,588.82
33.701902,72.864512,574.288
33.703055,72.868875,569.999
33.704245,72.870948,582.246
33.7048,72.874632,583.24
33.709457,72.881877,668.892
33.712293,72.887181,802.694
33.714061,72.891392,714.823
33.717012,72.896271,763.448
33.718101,72.900064,848.829
33.721123,72.906146,697.696
33.724008,72.911212,776.651
33.726753,72.916619,865.603
33.730248,72.923688,955.95
33.73205,72.9278,906.181
33.734267,72.933692,953.156
33.735445,72.937187,1001.091
33.737203,72.944205,990.133
33.738338,72.947079,996.053
33.738325,72.949915,1004.791
33.739344,72.960011,1115.418
33.741251,72.969572,1001.039
33.743568,72.976621,949.882
33.746024,72.983468,954.249
33.746024,72.984171,950.575
33.747648,72.989963,1036.197
33.748255,72.994145,994.463
33.749981,72.998385,1016.837
33.750601,73.00466,1033.999
33.752177,73.010465,1132.625
33.753318,73.013994,1121.162
33.755757,73.019493,1004.337
33.756973,73.020848,990.974
33.759695,73.028732,1122.552
33.760693,73.033768,1222.033
33.764599,73.03976,982.508
33.767725,73.046642,897.384
33.768922,73.048031,897.055
33.770641,73.05227,894.526
33.773316,73.058028,967.155
33.775066,73.063641,996.152
33.776805,73.065752,1055.868
33.779156,73.070657,1005.842
33.780339,73.07416,1004.682
33.783661,73.079837,1058.711
33.786059,73.084725,1078.074
33.78809,73.087615,1203.424
33.792328,73.093178,1148.989
33.795502,73.098847,1274.356
33.798353,73.103054,1283.652
33.800254,73.105829,1186.979
33.802953,73.110054,1330.819
33.803557,73.112848,1297.76
33.805266,73.118443,1343.726
33.806331,73.122641,1302.282
33.8074,73.125438,1358.397
33.80818,73.131028,1272.475
33.809872,73.133126,1280.86
33.811215,73.138031,1186.196
33.813153,73.146451,1131.869
33.813337,73.158291,1306.388
33.813573,73.164508,1386.484
33.814235,73.166622,1318.287
33.815372,73.173752,1231.701
33.815266,73.179324,1275.002
33.815386,73.184964,1141.883
33.815319,73.187043,1125.637
33.813555,73.194035,1179.066
33.810869,73.195521,1204.302
33.807157,73.197071,992.757
33.80401,73.197219,850.126
33.799383,73.197234,817.908
33.795074,73.195018,937.202
33.791545,73.191486,972.863
33.790541,73.187331,912.243
33.787665,73.183825,922.1
33.785462,73.178236,760.874
33.781558,73.171244,686.396
33.77979,73.164888,689.048
33.776204,73.154288,744.255
33.773013,73.146492,821.455
33.771378,73.145098,800.433
33.769192,73.138773,724.277
33.765642,73.128196,718.361
33.763897,73.12608,729.606
33.762869,73.116905,683.225
33.759156,73.106358,813.942
33.755841,73.095736,710.564
33.753524,73.085848,659.686
33.752437,73.07691,955.947
33.751575,73.068315,809.986
33.751673,73.066148,747.319
33.750211,73.060688,880.686
33.748625,73.050723,752.484
33.746771,73.043058,862.049
33.745501,73.03822,951.105
